Produkt_ID,Bezeichnung,Kategorie,Preis_Euro,Bestellmenge,Lieferzeit_Tage,Gewicht_kg,Qualitaetsstufe
1,Linearf체hrung LM20,F체hrungssysteme,125.50,50,7,2.8,A
2,Kugelumlaufspindel SFU1605,Antriebstechnik,89.90,120,5,1.5,A
3,Wellenkupplung FK25,Antriebstechnik,45.20,200,3,0.4,B
4,Spannzange ER32-10mm,Werkzeugaufnahme,18.75,500,2,0.15,A
5,HSS-Fr채ser D12mm,Zerspanungswerkzeug,32.80,350,4,0.25,A
6,Hydraulikzylinder 50/28-200,Hydraulik,285.00,35,10,8.5,A
7,W채lzlager 6206-2RS,Lager,12.40,800,1,0.22,A
8,Zahnriemen GT2-6mm,Antriebstechnik,15.60,400,3,0.08,B
9,Pneumatikzylinder 32/20-50,Pneumatik,68.50,150,6,1.2,A
10,Gewindebolzen M12x80,Verbindungselemente,2.35,2000,1,0.05,B
